Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Unallocated Lapse,"-94,476,192","94,476,192",0
Unallocated Lapse - Legislative,"-3,028,105","3,028,105",0
Unallocated Lapse - Judicial,"-7,400,672","7,400,672",0
General Lapse - Judicial,"-15,075,000","15,075,000",0
Municipal Opportunities and Regional Efficiencies Program,"-20,000,000","20,000,000",0
Targeted Savings,"-68,848,968","68,848,968",0
Other Allocated Lapses,0,0,0
Arts and Tourism Lapse,"-500,000","500,000",0
Labor - Management Savings,0,"-700,000,000","-700,000,000"
TOTAL-General Fund,"-209,328,937","-490,671,063","-700,000,000"
SPECIAL TRANSPORTATION FUND,,,
Unallocated Lapse,"-12,000,000","12,000,000",0
Other Allocated Lapses,0,0,0
TOTAL-Special Transportation Fund,"-12,000,000","12,000,000",0
TOTAL - ALL FUNDS,"-221,328,937","-478,671,063","-700,000,000"
