Financial Summary,Appropriated,Adjustment,Allocation,agency
GENERAL FUND,,,,LEGISLATIVE MANAGEMENT
Personal Services,"44,711,354","-5,243,193","39,468,161",LEGISLATIVE MANAGEMENT
Other Expenses,"15,504,772","-3,463,000","12,041,772",LEGISLATIVE MANAGEMENT
Equipment,"298,762","-298,762",0,LEGISLATIVE MANAGEMENT
Flag Restoration,"65,645","-65,645",0,LEGISLATIVE MANAGEMENT
Minor Capital Improvements,"111,565","-111,565",0,LEGISLATIVE MANAGEMENT
Interim Salary/Caucus Offices,"452,875","-22,643","430,232",LEGISLATIVE MANAGEMENT
Interstate Conference Fund,"377,944","-377,944",0,LEGISLATIVE MANAGEMENT
New England Board of Higher Education,"170,652",0,"170,652",LEGISLATIVE MANAGEMENT
TOTAL-General Fund,"61,693,569","-9,582,752","52,110,817",LEGISLATIVE MANAGEMENT
TOTAL - ALL FUNDS,"61,693,569","-9,582,752","52,110,817",LEGISLATIVE MANAGEMENT
GENERAL FUND,,,,AUDITORS OF PUBLIC ACCOUNTS
Personal Services,"10,641,720","-848,994","9,792,726",AUDITORS OF PUBLIC ACCOUNTS
Other Expenses,"342,143","-70,000","272,143",AUDITORS OF PUBLIC ACCOUNTS
TOTAL-General Fund,"10,983,863","-918,994","10,064,869",AUDITORS OF PUBLIC ACCOUNTS
TOTAL - ALL FUNDS,"10,983,863","-918,994","10,064,869",AUDITORS OF PUBLIC ACCOUNTS
GENERAL FUND,,,,"""COMMISSION ON WOMEN CHILDREN AND SENIORS"""
Personal Services,"600,000","-125,000","475,000","""COMMISSION ON WOMEN CHILDREN AND SENIORS"""
Other Expenses,"100,000","-90,000","10,000","""COMMISSION ON WOMEN CHILDREN AND SENIORS"""
TOTAL-General Fund,"700,000","-215,000","485,000","""COMMISSION ON WOMEN CHILDREN AND SENIORS"""
TOTAL - ALL FUNDS,"700,000","-215,000","485,000","""COMMISSION ON WOMEN CHILDREN AND SENIORS"""
GENERAL FUND,,,,COMMISSION ON EQUITY AND OPPORTUNITY
Personal Services,"600,000","-125,000","475,000",COMMISSION ON EQUITY AND OPPORTUNITY
Other Expenses,"100,000","-90,000","10,000",COMMISSION ON EQUITY AND OPPORTUNITY
TOTAL-General Fund,"700,000","-215,000","485,000",COMMISSION ON EQUITY AND OPPORTUNITY
TOTAL - ALL FUNDS,"700,000","-215,000","485,000",COMMISSION ON EQUITY AND OPPORTUNITY
GENERAL FUND,,,,COMMISSION ON EQUITY AND OPPORTUNITY
Personal Services,"2,197,412","-148,500","2,048,912",COMMISSION ON EQUITY AND OPPORTUNITY
Other Expenses,"187,274","-27,954","159,320",COMMISSION ON EQUITY AND OPPORTUNITY
Coalition of Northeastern Governors,"73,614",777,"74,391",COMMISSION ON EQUITY AND OPPORTUNITY
National Governors' Association,"118,073","-6,180","111,893",COMMISSION ON EQUITY AND OPPORTUNITY
TOTAL-General Fund,"2,576,373","-181,857","2,394,516",COMMISSION ON EQUITY AND OPPORTUNITY
TOTAL - ALL FUNDS,"2,576,373","-181,857","2,394,516",COMMISSION ON EQUITY AND OPPORTUNITY
GENERAL FUND,,,,SECRETARY OF THE STATE
Personal Services,"2,704,459","-135,363","2,569,096",SECRETARY OF THE STATE
Other Expenses,"1,712,094","-220,977","1,491,117",SECRETARY OF THE STATE
Commercial Recording Division,"4,829,932","-827,103","4,002,829",SECRETARY OF THE STATE
TOTAL-General Fund,"9,246,485","-1,183,443","8,063,042",SECRETARY OF THE STATE
TOTAL - ALL FUNDS,"9,246,485","-1,183,443","8,063,042",SECRETARY OF THE STATE
GENERAL FUND,,,,LIEUTENANT GOVERNOR'S OFFICE
Personal Services,"609,998","-14,258","595,740",LIEUTENANT GOVERNOR'S OFFICE
Other Expenses,"119,190","-79,601","39,589",LIEUTENANT GOVERNOR'S OFFICE
TOTAL-General Fund,"729,188","-93,859","635,329",LIEUTENANT GOVERNOR'S OFFICE
TOTAL - ALL FUNDS,"729,188","-93,859","635,329",LIEUTENANT GOVERNOR'S OFFICE
GENERAL FUND,,,,ELECTIONS ENFORCEMENT COMMISSION
Elections Enforcement Commission,"3,201,093","-175,523","3,025,570",ELECTIONS ENFORCEMENT COMMISSION
TOTAL-General Fund,"3,201,093","-175,523","3,025,570",ELECTIONS ENFORCEMENT COMMISSION
