LEGISLATIVE MANAGEMENT,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"44,711,354","-5,243,193","39,468,161"
Other Expenses,"15,504,772","-3,463,000","12,041,772"
Equipment,"298,762","-298,762",0
Flag Restoration,"65,645","-65,645",0
Minor Capital Improvements,"111,565","-111,565",0
Interim Salary/Caucus Offices,"452,875","-22,643","430,232"
Interstate Conference Fund,"377,944","-377,944",0
New England Board of Higher Education,"170,652",0,"170,652"
TOTAL-General Fund,"61,693,569","-9,582,752","52,110,817"
TOTAL - ALL FUNDS,"61,693,569","-9,582,752","52,110,817"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Achieve Efficiencies in Various Accounts,,,"-3,066,540"
,"Reflects FY 2017 expenditure levels in Personal Services and Other Expenses, and a 5% reduction in Interim Salary/Caucus Offices and Interstate Conference",,
Fund.,,,
• Reduce Funding for Wage and Compensation Related Adjustments,,,"-2,697,282"
• Annualize FY 2017 Holdbacks,,,"-2,521,883"
,"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,
Spec. Sess.).,,,
• Adjust Funding to Reflect the Length of the Legislative Session During FY 2018,,,"-463,000"
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-400,000"
• Eliminate Funding for Interstate Conference Fund,,,"-359,047"
• Eliminate Funding for Equipment,,,"-75,000"
,,,
B-1,,,
,,,
AUDITORS OF PUBLIC ACCOUNTS,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"10,641,720","-848,994","9,792,726"
Other Expenses,"342,143","-70,000","272,143"
TOTAL-General Fund,"10,983,863","-918,994","10,064,869"
TOTAL - ALL FUNDS,"10,983,863","-918,994","10,064,869"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Annualize FY 2017 Holdbacks,,,"-448,994"
,"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,
Spec. Sess.).,,,
• Achieve Efficiencies in Various Accounts,,,"-270,000"
Reflects FY 2017 expenditure levels in Personal Services and aligns funding with available resources in Other Expenses.,,,
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-200,000"
,,,
B-2,,,
,,,
"COMMISSION ON WOMEN, CHILDREN AND SENIORS",,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"600,000","-125,000","475,000"
Other Expenses,"100,000","-90,000","10,000"
TOTAL-General Fund,"700,000","-215,000","485,000"
TOTAL - ALL FUNDS,"700,000","-215,000","485,000"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-125,000"
• Reduce Other Expenses Funding to Align with Available Resources,,,"-90,000"
,,,
B-3,,,
,,,
COMMISSION ON EQUITY AND OPPORTUNITY,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"600,000","-125,000","475,000"
Other Expenses,"100,000","-90,000","10,000"
TOTAL-General Fund,"700,000","-215,000","485,000"
TOTAL - ALL FUNDS,"700,000","-215,000","485,000"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-125,000"
• Reduce Other Expenses Funding to Align with Available Resources,,,"-90,000"
,,,
B-4,,,
,,,
,GOVERNOR'S OFFICE,,
,,,
,AGENCY SUMMARY,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"2,197,412","-148,500","2,048,912"
Other Expenses,"187,274","-27,954","159,320"
Coalition of Northeastern Governors,"73,614",777,"74,391"
National Governors' Association,"118,073","-6,180","111,893"
TOTAL-General Fund,"2,576,373","-181,857","2,394,516"
TOTAL - ALL FUNDS,"2,576,373","-181,857","2,394,516"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Annualize FY 2017 Holdbacks and Rescissions,,,"-127,288"
• Adjust Funding to Reflect FY 2017 Expenditure Levels,,,"-54,569"
,,,
,B-5,,
,,,
SECRETARY OF THE STATE,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"2,704,459","-135,363","2,569,096"
Other Expenses,"1,712,094","-220,977","1,491,117"
Commercial Recording Division,"4,829,932","-827,103","4,002,829"
TOTAL-General Fund,"9,246,485","-1,183,443","8,063,042"
TOTAL - ALL FUNDS,"9,246,485","-1,183,443","8,063,042"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Funding for Software Maintenance for  the E-Regulations System,,,"122,000"
• Provide Funding for License Fees Associated with Motor Voter Program,,,"56,973"
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-54,230"
• Annualize FY 2017 Holdbacks and Rescissions,,,"-444,505"
• Reduce Funding to Align with Available Resources,,,"-863,681"
"Funding is reduced in Other Expenses for various items including travel and training, and in Commercial Recording Division to reflect current payroll and to adjust",,,
funding for various other expense components.,,,
,,,
B-6,,,
,,,
LIEUTENANT GOVERNOR'S OFFICE,,,
,,,
